Name,Address,Bedroom,Bathroom,Total_area,Price
DIJUAL SOHO PANCORAN RUKAN CANTIK BENEFIT MENARIK di-JAKARTA SELATAN,"Pancoran, Jakarta Selatan",1,2,97 m²," 2,552,550,000"
SOHO Pancoran apartemen rasa kantor harga ekonomis & siap pakai di luas 102.65m2,"Pancoran, Jakarta Selatan",1,2,102 m²," 2,780,000,000"
Jual Apartemen Multifungsi Kantor luas 97.50m2 dan Free PPN 25% SOHO Pancoran.,"Pancoran, Jakarta Selatan",1,2,97 m²," 2,800,000,000"
DiJual Apartemen Double fungsi Kantor luas 97.50m2 & Free PPN 25% SOHO Pancoran,"MT Haryono, Jakarta Selatan",1,2,97 m²," 2,799,999,999"
APARTEMEN 3 KAMAR MEDITERANIA GADING FURNISH SERTIFIKAT READY,"Kelapa Gading, Jakarta Utara",3,2,88 m²," 950,000,000"
Dijual apartemen di belakang Gedung Nestle TB Simatupang.,"Kebagusan, Jakarta Selatan",1,1,21 m²," 360,000,000"
Dijual Apartemen The Grove Tipe 1+1 Kamar Tidur Kondisi Un Furnished,"Kuningan, Jakarta Selatan",1,1,70 m²," 1,600,000,000"
APARTMENT THE WINSOR,,3,3,147 m²," 5,100,000,000"
Apartemen OAK Jakarta Timur 2BR Furnish Siap Huni Cukup Bayar 5 Juta,"Pulo Gadung, Jakarta Timur",2,1,42 m²," 800,000,000"
APARTEMEN TENGAH KOTA LOKASI STRATEGIS PANGERAN  JAYAKARTA.,"Sawah Besar, Jakarta Pusat",2,1,100 m²," 725,000,000"
"Apartemen Green Lake Sunter, 42m2, 2kt, 1km","Sunter Agung, Jakarta Utara",2,1,42 m²," 800,000,000"
APARTEMEN MEDIT KEMAYORAN 2 KAMAR FURNISH TENGAH KOTA STRATEGIS,"Kemayoran, Jakarta Pusat",1,1,36 m²," 375,000,000"
DIJUAL APARTEMEN SUNTER PARK VIEW DIBAWAH NJOP BU.,"Tanjung Priok, Jakarta Utara",36,1,36 m²," 365,000,000"
"Anandamaya, Luxury residencial at Sudirman, 4 BR, 267 sqm, Brand New, perpect","Tanah Abang, Jakarta Pusat",5,5,267 m²," 20,000,000,000"
"Apartemen Dijual Sunter Park View, Luas 35 Meter, Kode :17764 Si","Sunter, Jakarta Utara",2,1,35 m²," 580,000,000"
Dijual rugi apartemen Menteng Park 2 br ekslusif private lift unit,"Menteng, Jakarta Pusat",2,1,65 m²," 1,700,000,000"
"Apartemen Dijual The Royal Springhill, Luas 73 Meter, Kode :17763 Si/Js","Kemayoran, Jakarta Pusat",1,1,73 m²," 1,150,000,000"
APARTEMEN THE BOUTIQUE KEMAYORAN 2 KMR LOKASI STRATEGIS SIAP HUNI.,"Kemayoran, Jakarta Pusat",2,1,45 m²," 465,000,000"
Di Jual Murah Apartemen The Aspen Residence,"Cilandak, Jakarta Selatan",2,2,48 m²," 990,000,000"
APARTEMEN MURAH LOKASI KELAPA GADING FURNISH SERTIFIKAT READY,"Kelapa Gading, Jakarta Utara",1,1,21 m²," 190,000,000"
Apartemen Springhill Residence Jakarta Pusat 1BR Furnish Balkon Besar Dekat Golf,"Kemayoran, Jakarta Pusat",1,1,79 m²," 1,600,000,000"
APARTEMEN MURAH LOKASI KELAPA GADING FURNISH SERTIFIKAT READY,"Kelapa Gading, Jakarta Utara",1,1,21 m²," 190,000,000"
PALING MURAH APARTEMEN 3 BR DI L'AVENUE PANCORAN,"Pancoran, Jakarta Selatan",3,2,156 m²," 3,300,000,000"
APARTEMEN DIJUAL KELAPA GADING 2 KAMAR SERTIFIKAT HUK LT RENDAH.,"Kelapa Gading, Jakarta Utara",2,1,35 m²," 220,000,000"
DIJUAL APARTEMEN MEDITERANIA GADING  FULL FURNISH  KELAPA GADING - JAK,"Kelapa Gading, Jakarta Utara",3,1,88 m²," 950,000,000"
APARTEMEN TENGAH KOTA MURAH MEDITERANIA PALACE KEMAYORAN 2 BR,"Kemayoran, Jakarta Pusat",2,1,36 m²," 415,000,000"
Di jual apartemen Green Pramuka sutdio fully furnish,"Cempaka Putih, Jakarta Pusat",1,1,21 m²," 380,000,000"
APARTEMEN STUDIO KELAPA GADING SUDAH SERTIFIKAT MURAH SIAP HUNI,"Kelapa Gading, Jakarta Utara",1,1,21 m²," 165,000,000"
DIJUAL APARTEMEN MEDITERANIA GADING RESIDENCE 2 KT FULL FURNISH.,"Kelapa Gading, Jakarta Utara",2,1,42 m²," 550,000,000"
DIJUAL APARTEMEN MEDITERANIA PALACE KEMAYORAN.,"Kemayoran, Jakarta Pusat",2,2,66 m²," 750,000,000"
Kalibata City Tower Borneo Lantai Rendah Non-furnished,"Pancoran, Jakarta Selatan",2,1,33 m²," 275,000,000"
Hunian di Pusat Jakarta Free DP Cicilan mulai 3jt SHM,"Ciracas, Jakarta Timur",1,1,24 m²," 596,000,000"
"(GA15543-BR) DIJUAL : APARTEMEN TELUK INTAN TWR SHAPIRE LT17 SIAP NEGO, JAKUT","Teluk Gong, Jakarta Utara",2,1,47 m²," 550,000,000"
Dijual Apartemen Green Bay Pluit Tower E Lantai 7,"Pluit, Jakarta Utara",2,1,38 m²," 525,000,000"
"Apartemen Dijual Grand Palace, Luas 98 Meter, Kode :17895 Li","Kemayoran, Jakarta Pusat",2,2,98 m²," 950,000,000"
"Apartemen Dijual Grand Palace, Furnish, Luas 95 Meter, Kode :17823 Si","Kemayoran, Jakarta Pusat",3,3,95 m²," 850,000,000"
DIJUAL CEPAT MURAH APARTEMEN GADING NIAS FURNISH.,"Kelapa Gading, Jakarta Utara",2,1,35 m²," 250,000,000"
"Apartemen Dijual Menara Jakarta, Luas 35 Meter, Kode :16005 Ir","Kemayoran, Jakarta Pusat",1,1,35 m²," 1,300,000,000"
Di Jual Murah Apartement The Aspen,"Cilandak, Jakarta Selatan",2,1,48 m²," 990,000,000"
"Apartemen Dijual Mediterania, Luas 59 Meter, Kode :17840 Si/Dj","Tanjung Duren, Jakarta Barat",2,1,59 m²," 740,000,000"
JUAL APARTEMEN MOI 2 KAMAR FULL FURNISH LT RENDAH SHM SIAP HUNI,"Kelapa Gading, Jakarta Utara",2,1,45 m²," 750,000,000"
apartemen pluit seaview di tepi laut,"Penjaringan, Jakarta Utara",1,1,21 m²," 280,000,000"
"Kemang Village Residence
Jl. Pangeran Antasari No. 36, Rt. 14 / Rw. 5, Bangka, Mampan...",Jakarta Selatan,2,2,121 m²," 3,500,000,000"
1 Unit Apartment Kemang Village Residence,"Mampang Prapatan, Jakarta Selatan",1,1,43 m²," 1,700,000,000"
JUAL CEPAT APARTEMEN SUNTER PARK 2 KAMAR FULL FURNISH INTERIOR,"Kelapa Gading, Jakarta Utara",2,1,36 m²," 430,000,000"
Apartemen 5 juta langsung akad tanpa biaya yang lain lagi,"Kelapa Gading, Jakarta Utara",2,1,42 m²," 700,000,000"
unit second apartemen Puri Casablanca,"Tebet, Jakarta Selatan",1,1,70 m²," 1,600,000,000"
APT CENTRAL PARK LOKASI PALING STRATEGIS 3 BR FURNISH 220m2,"Tanjung Duren, Jakarta Barat",4,3,220 m²," 3,600,000,000"
"Pakubuwono Residence CHEAPEST 2 BR, 178 Sqm, Garden and Pool view","Kebayoran Baru, Jakarta Selatan",2,2,178 m²," 6,300,000,000"
"Capital Residence at SCBD, 3 BR, 170 Sqm, well maintained unit, Direct Owner, Ge","Kebayoran Baru, Jakarta Selatan",4,4,170 m²," 9,000,000,000"
"Botanica at Jaksel, 2+1 BR, 195 Sqm, BY INHOUSE MARKETING, Direct Owner.","Kebayoran Lama, Jakarta Selatan",4,3,195 m²," 8,200,000,000"
"Pakubuwono View CHEAPEST 3 br, 196 sqm, Direct Owner, Only IDR 7.5Bio, Yani Lim","Kebayoran Lama, Jakarta Selatan",4,3,196 m²," 7,500,000,000"
"Pakubuwono Spring CHEAPEST 2 BR, 170 Sqm, Furnished, Direct Owner -","Kebayoran Lama, Jakarta Selatan",2,2,170 m²," 7,800,000,000"
"Botanica 2 Br, 157 Sqm, Best View for Pool, By Inhouse Marketing, Direct Owner.","Kebayoran Lama, Jakarta Selatan",3,3,157 m²," 6,500,000,000"
"Pakubuwono View For Sale, 2 Br, 153 Sqm, Below Market Price, Direct Owner - YANI","Kebayoran Lama, Jakarta Selatan",2,2,153 m²," 4,800,000,000"
"Pakubuwono Signature Dijual, 4+1 Br, 385 Sqm,  High Floor, Best View","Kebayoran Baru, Jakarta Selatan",4,3,385 m²," 23,000,000,000"
"Jual Apartemen Bassura City, 2br,Full Furnished","Jatinegara, Jakarta Timur",2,1,34 m²," 550,000,000"
Jual Kalibata City Borneo Lantai 6 Kosongan,"Pancoran, Jakarta Selatan",2,1,33 m²," 275,000,000"
Di jual apartemen murah di cilandak jakarta selatan,"Cilandak, Jakarta Selatan",2,1,85 m²," 1,300,000,000"
Dijual Apartement Mediterania Kelapa Gading Tower A lantai 25 huk,"Kelapa Gading, Jakarta Utara",2,1,55 m²," 950,000,000"
DIJUAL APARTEMEN DAAN MOGOT CITY JAKARTA BARAT STUDIO PREMIUM,"Daan Mogot, Jakarta Barat",1,1,38 m²," 660,253,476"
2 BR Apartemen di jakarta selatan hanya 19jtan permeter Bonus voucher ikea,"Pesanggrahan, Jakarta Selatan",2,2,86 m²," 1,725,700,000"
"Dijual CEPAT Condominium Hotel area MT Haryono, harga 900 juta","Cawang, Jakarta Timur",1,1,37 m²," 900,000,000"
"3BR Appartment Sahid Sudirman, Menarik, Strategis.","Karet Tengsin, Jakarta Pusat",3,3,66 m²," 2,400,000,000"
"Apartemen Strategis 1 kamar, 2 kamar, 3 kamar dan 5 kamar. Dijual dan disewakan.","Kebayoran Lama, Jakarta Selatan",3,2,91 m²," 1,300,000,000"
Dijual Cepat Apartemen Green Pramuka,"Cempaka Putih, Jakarta Pusat",1,1,35 m²," 450,000,000"
Di jual Apartement Holland Cempaka Putih,"Cempaka Putih, Jakarta Pusat",2,1,115 m²," 2,900,000,000"
Di Jual Apartemen Deluxe Casagrande di Jalan Casablanca  Siap Huni,"Tebet, Jakarta Selatan",2,2,88 m²," 3,200,000,000"
Dijual Apartemen Studio Unfurnised di wilayah Jakarta Selatan,Jakarta Selatan,1,1,20 m²," 260,000,000"
APARTEMEN 1 KAMAR PINGGIR LAUT MURAH SIAP HUNI NORTHLAND ANCOL,"Pademangan, Jakarta Utara",1,1,31 m²," 325,000,000"
"Dijual Apartemen murah di Jakarta Pusat dgn view Golf, Sea and City","Kemayoran, Jakarta Pusat",2,2,80 m²," 2,000,000,000"
Dijual Apartemen Gading Nias,"Tanjung Priok, Jakarta Utara",2,1,35 m²," 250,000,000"
"(NE3877-HR)DIJUAL : Apartemen Daan Mogot City Twr Albatros Lt2, Jakbar","Cengkareng, Jakarta Barat",1,1,38 m²," 830,000,000"
"Apartemen Dijual Cosmo Mansion,Full Furnish,Luas 42 Meter, Kode :16003","Tanah Abang, Jakarta Pusat",1,1,42 m²," 1,000,000,000"
APARTEMEN 2 KAMAR FURNISH VIEW KOTA SIAP HUNI SUNTER PARK VIEW,"Tanjung Priok, Jakarta Utara",2,1,35 m²," 385,000,000"
APARTEMEN SUNTER PARK VIEW 2 KAMAR HOOK DIJUAL MURAH SERTIFIKAT,"Tanjung Priok, Jakarta Utara",2,1,36 m²," 385,000,000"
SPRINGHILL KEMAYORAN 3 KAMAR FULL FURNISH 192m2 LOKASI STRATEGIS,"Kemayoran, Jakarta Pusat",4,3,192 m²," 3,200,000,000"
Apartemen premium di jakarta siap huni,"Pulo Gadung, Jakarta Timur",2,1,42 m²," 786,000,000"
"Dijual/Disewa Taman Anggrek Condominium, Luas 146 Meter,Kode :17633 Js","Grogol Petamburan, Jakarta Barat",3,2,146 m²," 3,000,000,000"
Apartement The Aspen,"Cilandak, Jakarta Selatan",12,1,48 m²," 990,000,000"
Apartemen Brand New Siap Huni di Jaksel,"Jati Padang, Jakarta Selatan",1,1,23 m²," 900,000,000"
apartemen marbella kemang residence for sale fully furnished 2 br,"Kemang, Jakarta Selatan",2,1,66 m²," 1,600,000,000"
"Apartemen Holland Village, 4 Br, 150 Sqm For Sale Very Cheap","Cempaka Putih, Jakarta Pusat",4,4,150 m²," 4,400,000,000"
"Senopati Suites at SCBD For Sale 3 Br, 298 Sqm, Best View, Direct Owner- YANI LI","Kebon Baru, Jakarta Selatan",3,4,298 m²," 12,500,000,000"
"Botanica 3 Br, 225 Sqm, Renovated, Nice Interior Design, BY INHOUSE BOTANICA, Di","Kebayoran Lama, Jakarta Selatan",3,3,225 m²," 10,000,000,000"
APARTMENT MEWAH SIAP HUNI JAKARTA BARAT 500JT AN SEMI FURNISH (PROMO TERBATAS!),"Kalideres, Jakarta Barat",1,1,26 m²," 600,000,000"
Dijual Hunian Apple 3 dengan angsuran tiga jutaan siap huni,"Lebak Bulus, Jakarta Selatan",1,1,28 m²," 700,000,000"
DIJUAL CEPAT APARTEMEN JAKARTA TIMUR 2BR FULL FURNISHED BISA NEGO,"Jatinegara, Jakarta Timur",2,1,35 m²," 650,000,000"
Apartement The Aspen,"Cilandak, Jakarta Selatan",12,1,48 m²," 990,000,000"
Apartemen premium di jakarta siap huni,"Pulo Gadung, Jakarta Timur",2,1,42 m²," 786,000,000"
apartemen mediaterania palace dekat dengan JIEXPO,"Kemayoran, Jakarta Pusat",2,1,33 m²," 500,000,000"
JUAL APARTEMEN STUDIO KELAPA GADING SEMI FURNISH SERTIFIKAT SIAP HUNI,"Kelapa Gading, Jakarta Utara",1,1,21 m²," 190,000,000"
Puri Orchard Apartment,"Cengkareng, Jakarta Barat",2,1,50 m²," 1,300,000,000"
Apartemen bagus 2BR berlokasi d jakarta selatan ABY,"Pesanggrahan, Jakarta Selatan",2,2,84 m²," 1,900,000,000"
Di jual appartement dekat pusat perkantoran & sentral bisnis,"Senen, Jakarta Pusat",4,2,299 m²," 3,500,000,000"
"APARTMENT 2BEDROOM, SOUTHGATE BY SINARMAS LAND","Tanjung Barat, Jakarta Selatan",2,1,65 m²," 2,899,764,000"
Apartemen Holland Village Jakarta Brand New n Unit Ready,"Cempaka Putih, Jakarta Pusat",3,2,93 m²," 1,800,000,000"
APARTEMEN TENGAH KOTA KEMAYORAN STRATEGIS 4 KAMAR 2 UNIT GANDENG SHM,"Kemayoran, Jakarta Pusat",3,2,66 m²," 725,000,000"
"Jual Apartemen 9 Residences, Mampang Jakarta Selatan E-AP016","Mampang Prapatan, Jakarta Selatan",1,1,76 m²," 1,850,000,000"
"Apartemen Dijual/Disewa The Summit, Full Furnish, Luas 212 Meter, Kode :09326 Ha","Kelapa Gading, Jakarta Utara",3,3,212 m²," 6,000,000,000"
dijual apartemen transcibubur,"Jagakarsa, Jakarta Selatan",2,1,45 m²," 900,000,000"
"Promo Double Keuntungan, Apartemen Elite Area Jakarta Barat.","Kebon Jeruk, Jakarta Barat",1,1,52 m²," 1,385,000,000"
APARTEMEN STUDIO LOKASI STRATEGIS SIAP HUNI MURAH SERTIFIKAT,"Tanjung Priok, Jakarta Utara",1,1,22 m²," 220,000,000"
APARTEMEN KEMAYORAN LOKASI STRATEGIS 2 KAMAR FURNISH 45m2 SHM,"Kemayoran, Jakarta Pusat",2,1,45 m²," 530,000,000"
Apartemen The Oak Tower,"Pulo Gadung, Jakarta Timur",2,1,42 m²," 786,000,000"
DIJUAL Apartment Ciputra International,"Cengkareng, Jakarta Barat",2,2,80 m²," 2,400,000,000"
"Jl. Pangeran Antasari No. 36, Rt. 14 / Rw. 5, Bangka, Mampang Prapatan, Jakarta Selat...",Jakarta Selatan,2,2,95 m²," 2,800,000,000"
Apartemen Springhill Residence Jakarta Pusat 1BR Furnish Dekat Toll & Golf,"Kemayoran, Jakarta Pusat",1,1,73 m²," 1,600,000,000"
"Regent Residence at mangkuluhur city, Limited unit, 2 br, 168 sqm, Furnished","Gatot Subroto, Jakarta Selatan",2,2,168 m²," 9,900,000,000"
"Pakubuwono Signature CHEAPEST 4+1 Br, 385 Sqm,  Perfect for Investor,","Kebayoran Baru, Jakarta Selatan",4,5,385 m²," 20,000,000,000"
"Senopati Suites for sale, 2 br, 135 sqm, By Onsite Agent, Best Deals - YANI LIM","Kebayoran Baru, Jakarta Selatan",2,2,135 m²," 5,300,000,000"
dijual apartemen Menteng Park lantai penthouse+bath tube+ corner type,"Menteng, Jakarta Pusat",1,1,40 m²," 1,800,000,000"
Disini Bayar 5jt Langsung Huni Apartemen Citra Garden,"Kalideres, Jakarta Barat",1,1,22 m²," 490,580,000"
Dijual Hunian Harga Terjangkau di Jakarta Selatan Angsuran 3 juta an,"Jati Padang, Jakarta Selatan",1,1,29 m²," 800,000,000"
Apartemen Gading Resort Kelapa Gading Renov Gandeng Mewah,"Kelapa Gading, Jakarta Utara",4,2,206 m²," 3,350,000,000"
1 BR Apartemen di jakarta selatan hanya 19jtan permeter Bonus voucher ikea,"Pesanggrahan, Jakarta Selatan",1,1,37 m²," 738,150,000"
Apartmen 1 BR Baru Lokasi Strategis di Jakart TImur,Jakarta Timur,1,1,21 m²," 371,269,119"
"Apartemen strategisekat SCBD 1 kamar, 2 kamar 3 dan 5 kamar. Dijual & Disewaka","Kebayoran Lama, Jakarta Selatan",3,2,91 m²," 1,300,000,000"
Apartement Mewah di Pusat Jakarta,"Cempaka Baru, Jakarta Pusat",3,2,109 m²," 2,700,000,000"
APARTEMEN JAKARTA SELATAN (Southgate Apartmen),"Tanjung Barat, Jakarta Selatan",1,1,30 m²," 1,200,000,000"
Di Jual Apartemen Green Palace Tower Mawar Dengan View Kolam Renang,"Kalibata, Jakarta Selatan",2,1,42 m²," 700,000,000"
"(GA14937-HR)DIJUAL : Apartemen Puri Mansion Twr amethys Lt2, Jakbar","Kembangan, Jakarta Barat",1,1,37 m²," 730,000,000"
Puri Mansion semi furnished termurah,"Puri Indah, Jakarta Barat",1,1,37 m²," 699,000,000"
APARTEMEN MEDITERANIA GADING 3 KAMAR SIAP HUNI SERTIFIKAT,"Kelapa Gading, Jakarta Utara",3,2,88 m²," 850,000,000"
Time To Buy Property At Kebon Jeruk. Jakbar.,"Kebon Jeruk, Jakarta Barat",1,1,51 m²," 1,287,900,000"
Hunian Keluarga Modern Area Pintu Tol Kebon Jeruk.  Jakarta Barat.,"Kebon Jeruk, Jakarta Barat",1,1,52 m²," 1,380,000,000"
"DIJUAL : APARTEMEN 2 KAMAR , STRATA TITLE, FURNISHED (GA20457-CS)","Puri Indah, Jakarta Barat",2,2,50 m²," 1,100,000,000"
"Jual Apartemen Kemang Mansion Sudah Sertifikat, Mampang Jakarta Selatan E-AP014","Mampang Prapatan, Jakarta Selatan",1,1,62 m²," 1,950,000,000"
"Apartemen Dijual The Royal Springhill, Luas 163 Meter, Kode :18132 Js","Kemayoran, Jakarta Pusat",2,2,163 m²," 2,700,000,000"
1 Unit Apartment Kemang Village Residence,"Mampang Prapatan, Jakarta Selatan",1,1,43 m²," 1,700,000,000"
APARTEMENT PREMIUM SIAP HUNI,"Cipayung, Jakarta Timur",1,1,30 m²," 730,000,000"
Apartemen Jakarta Selatan,"Tanjung Barat, Jakarta Selatan",1,1,68 m²," 2,376,000,000"
"Apartemen Dijual/Disewa The Mansion, Luas 49 Meter, Kode :08391 Ha","Kemayoran, Jakarta Pusat",1,1,49 m²," 770,000,000"
DIJUAL APARTEMEN PURI PARK VIEW,"Kembangan, Jakarta Barat",1,1,35 m²," 575,000,000"
JUAL CEPAT MURAH APARTEMEN STUDIO KELAPA GADING SIAP HUNI DISEWAKAN,"Kelapa Gading, Jakarta Utara",1,1,21 m²," 170,000,000"
APARTEMEN TOKYO DIJUAL PIK2 21M2 FULL FURNISH TERMURAH!!,"Pantai Indah Kapuk, Jakarta Utara",1,1,21 m²," 300,000,000"
Sedayu City Apartemen di Kelapa Gading Tipe Studio Jual CEPAT TERMURAH,"Kelapa Gading, Jakarta Utara",1,1,28 m²," 590,000,000"
Apartemen Grand Central City Jakarta Barat,"Taman Sari, Jakarta Barat",2,1,47 m²," 1,100,000,000"
"DIJUAL CEPAT!  Apartemen Gading Nias, Kelapa Gading","Kelapa Gading, Jakarta Utara",1,1,35 m²," 275,000,000"
"Pakubuwono Residences, Below Market Price, 3+1 Br, 304 Sqm.","Kebayoran Baru, Jakarta Selatan",3,4,304 m²," 13,000,000,000"
"Pakubuwono Menteng, TERMURAH, 260 sqm, Direct Owner, For Best Deal","Menteng Atas, Jakarta Selatan",3,3,260 m²," 15,800,000,000"
"Pakubuwono Spring For Sale, 2 Br, 170 Sqm, Well Maintained unit, Direct Owner -","Kebayoran Lama, Jakarta Selatan",2,2,170 m²," 7,900,000,000"
"Capital Residence at SCBD For Sale, 3 Br, 170 Sqm, Direct Owner, - YANI LIM 0817","Kebayoran Baru, Jakarta Selatan",3,3,170 m²," 9,500,000,000"
"Botanica For Sale, Brand New, 3+1 Br, 288 sqm, YANI LIM","Kebayoran Lama, Jakarta Selatan",3,3,288 m²," 15,000,000,000"
"Pakubuwono View dijual, 2 Br, 153 Sqm, Nice View YANI LIM","Kebayoran Lama, Jakarta Selatan",2,2,153 m²," 5,000,000,000"
"DIJUAL CEPAT!  Apartemen Gading Nias, Kelapa Gading","Kelapa Gading, Jakarta Utara",1,1,35 m²," 275,000,000"
Kabar Gembira Apartemen Citra Garden Bayar 5jt Langsung Akad,"Kalideres, Jakarta Barat",1,1,32 m²," 693,820,000"
Dijual Hunian Baru Woho & Soho Apple 7 di Pancoran 800 jt an,"Pancoran, Jakarta Selatan",1,1,42 m²," 888,000,000"
"APARTMENT FULL FURNISH SIAP HUNI CUKUP BF 4,8JT TANPA DP TANPA BIAYA LAIN-LAIN!","Pesanggrahan, Jakarta Selatan",1,1,22 m²," 415,000,000"
Apartemen 2 Kamar Tidur Bayar 5jt Langsung Huni,"Kalideres, Jakarta Barat",2,1,39 m²," 846,280,000"
Sedayu City Apartemen di Kelapa Gading Tipe Studio Jual CEPAT TERMURAH,"Kelapa Gading, Jakarta Utara",1,1,28 m²," 590,000,000"
3 BR Apartemen di jakarta selatan hanya 19jtan permeter Bonus voucher ikea,"Pesanggrahan, Jakarta Selatan",3,2,123 m²," 2,453,850,000"
Apartment 2 BR Baru Full Furnished di Jakarta Timur,"Pulo Gadung, Jakarta Timur",2,1,42 m²," 816,000,000"
Di jual Apartement Holland Cempaka Putih 3BR,"Cempaka Putih, Jakarta Pusat",3,1,104 m²," 2,350,000,000"
Southgate Apartment Murah Mewah,"Tanjung Barat, Jakarta Selatan",1,1,54 m²," 1,200,000,000"
APARTEMEN STRATEGIS DEKAT LAUT ANCOL SERTIFIKAT MURAH,"Pademangan, Jakarta Utara",2,1,40 m²," 420,000,000"
DIJUAL UNIT KANTOR DI TOWER OFFICE BOUGENVILLE THE MANSION KEMAYORAN,Jakarta Utara,1,1,68 m²," 1,300,000,000"
DIJUAL BUTUH MURAH GREEN PRAMUKA CITY TIPE 2 BEDROOM,"Cempaka Putih, Jakarta Pusat",2,1,33 m²," 480,000,000"
Pejaten Buncit Jakarta Selatan Apartemen Gardenia dijual Cepat,Jakarta Selatan,2,1,48 m²," 800,000,000"
Jarak Tempuh Hanya 30 Menit Menuju CBD Jakarta Pusat.,"Kebon Jeruk, Jakarta Barat",2,1,65 m²," 1,680,000,000"
Akses & Hunian Super Strategis Di Kawasan Pintu Tol Kebon Jeruk.,"Kebon Jeruk, Jakarta Barat",1,1,52 m²," 1,385,000,000"
"Semakin Strategis Semakin Menguntungkan, Hunian Area Tol Kebon Jeruk.","Kebon Jeruk, Jakarta Barat",2,2,65 m²," 1,652,000,000"
Jual/Sewa Apartemen The Newton 1 Ciputra World Semanggi Jakarta Selatan E-AP010,"Karet Semanggi, Jakarta Selatan",1,1,24 m²," 1,400,000,000"
"Apartemen Dijual/Disewa Ancol Mansion, Full Furnish, Luas 66 Meter, Kode :17818","Ancol, Jakarta Utara",1,1,66 m²," 1,050,000,000"
"Apartemen Dijual The Mansion, Furnish, Luas 147 Meter, Kode :17831 Si","Kemayoran, Jakarta Pusat",3,2,147 m²," 2,500,000,000"
Dijual Admiralty Residence 2BR Unfurnished Cilandak Jakarta Selatan,"Cilandak, Jakarta Selatan",2,1,47 m²," 1,059,606,000"
"Jl. Tj. Duren Timur 2 No.30, RT.12/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota...",Jakarta Barat,1,1,30 m²," 700,000,000"
"FOR SALE Kemang Village Residence
Location Jl. Pangeran Antasari No. 36, Rt. 14 / Rw....",Jakarta Selatan,1,1,43 m²," 1,300,000,000"
"DIJUAL Apartemen THE MANSION, Kemayoran","Ancol, Jakarta Utara",1,1,57 m²," 945,000,000"
Ingin tinggal di hotel terus? Pilihlah Gloria Suites yang terbaik,"Grogol Petamburan, Jakarta Barat",2,1,45 m²," 1,100,000,000"
jual apartemen green bay lantai atas view laut cakep,"Pluit, Jakarta Utara",2,1,36 m²," 550,000,000"
Tinggal didaerah Puri indah? Mahal loh rumah disana! Puri Park View Jawabannya,"Puri Indah, Jakarta Barat",1,1,35 m²," 430,000,000"
DI JUAL APARTEMEN GREEN PRAMUKA CITY SUPER MURAH,"Cempaka Putih, Jakarta Pusat",2,1,34 m²," 550,000,000"
Apartemen murah di tengah kota Jakarta,"Kelapa Gading, Jakarta Utara",2,1,42 m²," 700,000,000"
DIJUAL APARTEMEN MEDITERANIA GADING 3 KAMAR KOSONGAN SERTIFIKAT READY,"Kelapa Gading, Jakarta Utara",3,2,86 m²," 800,000,000"
Apartemen dengan view Mall,"Kayu Putih, Jakarta Timur",2,1,64 m²," 1,200,000,000"
"Apartemen Dijual Royal Springhill, Luas 196 Meter, Kode :18175 Js","Kemayoran, Jakarta Pusat",3,2,196 m²," 3,850,000,000"
"Pakubuwono Menteng Termurah  3 BR, 260 Sqm Direct Owner - YANI LIM","Menteng, Jakarta Pusat",3,2,260 m²," 15,800,000,000"
"Senopati Suites, 2 BR, 131 Sqm, Best Price, Direct Owner - YANI LIM","Kebayoran Baru, Jakarta Selatan",4,3,131 m²," 5,800,000,000"
"Anandamaya Residence, 2 br, 131 Sqm, Perfect for Investor, Get refund From Renta","Tanah Abang, Jakarta Pusat",3,3,131 m²," 7,750,000,000"
"1 Park Avenue, 3 Br, 177 Sqm, Elegance Interior Design And Furniture, Direct","Kebayoran Lama, Jakarta Selatan",3,3,177 m²," 6,000,000,000"
"Pakubuwono View TERMURAH, Pool View, 2 br, 153 Sqm, Direct Owner, Best Deal - YA","Kebayoran Lama, Jakarta Selatan",2,2,153 m²," 4,500,000,000"
"Capital Residence at SCBD, CHEAPEST 2 BR, 150 Sqm, Nice View, Direct Owner,","Kebon Baru, Jakarta Selatan",3,3,150 m²," 6,000,000,000"
"Pakubuwono View CHEAPEST 2 Br, 153 Sqm, Furnished,  Direct owner, Best Deal","Kebayoran Lama, Jakarta Selatan",2,2,153 m²," 4,200,000,000"
"Botanica For Sale, 2+1 Br, 195 Sqm, Perfect for Investor, Direct owner - YANI LI","Kebayoran Lama, Jakarta Selatan",2,2,195 m²," 8,500,000,000"
"Verde Two, A Pet Friendly Residence, Rare combine unit, 4+1 Br, 460 Sqm - YANI L","SetiaBudi, Jakarta Selatan",4,4,460 m²," 31,000,000,000"
Dijual apartemen Puri Orchard tipe 2BR NEGO SAMPA DEAL,"Rawa Buaya, Jakarta Barat",2,1,50 m²," 900,000,000"
"Appartment 2 BR, murah, bagus dan strategis di Kemayoran, Jak Pus","Kemayoran, Jakarta Pusat",2,1,65 m²," 750,000,000"
Apartment mewah 3 BR dengan view laut,"Pantai Indah Kapuk, Jakarta Utara",3,3,243 m²," 8,500,000,000"
"DIJUAL/SEWA 2BR appartment Menteng Park, Jakarta Pusat (MUST SEE)","Menteng, Jakarta Pusat",2,2,60 m²," 2,800,000,000"
