Name,Address,Bedroom,Bathroom,Total_area,Price
B Residence Grogol Tipe 2 BR,"Kebon Jeruk, Jakarta Barat",2,1,50 m²," 1,403,800,000"
Apartemen Strategis di Jakarta - B Residence Grogol Tipe 2 BR,"Kebon Jeruk, Jakarta Barat",2,1,50 m²," 1,404,800,000"
DIJUAL THE MANSION KEMAYORAN APARTMENT 1BR TANPA AGENT BU TOWER GLORIA,"Pademangan, Jakarta Utara",1,1,34 m²," 460,000,000"
Apartment cicilan 3 jutaan dapat 2 kamar di Jakarta,"Pekayon, Jakarta Timur",2,1,34 m²," 570,000,000"
Dijual Murah Apartemen 1 BR Jaktim,"Pulo Gadung, Jakarta Timur",1,1,36 m²," 684,000,000"
Apartemen 1 BR di Oak Tower,"Pulo Gadung, Jakarta Timur",1,1,36 m²," 683,500,000"
The Oak Tower Tipe 2 BR,"Pulo Gadung, Jakarta Timur",2,1,42 m²," 941,417,000"
B Residence Grogol Tipe Studio,"Kebon Jeruk, Jakarta Barat",1,1,24 m²," 721,800,000"
Apartment Studio Green Bay Walk Pluit Semi Furnish,"Pluit, Jakarta Utara",1,1,21 m²," 240,000,000"
B Residence Grogol Tipe 1 BR,"Kebon Jeruk, Jakarta Barat",1,1,41 m²," 1,243,800,000"
Dijual The Oak Tower - Tipe 2 BR di Jakarta Timur,"Pulo Gadung, Jakarta Timur",2,1,42 m²," 941,500,000"
B Residence Grogol Tipe 1 BR,"Kebon Jeruk, Jakarta Barat",1,1,41 m²," 1,243,800,000"
Apartemen Mewah di Jakarta Barat - B Residence Grogol Tipe Studio,"Kebon Jeruk, Jakarta Barat",1,1,24 m²," 721,900,000"
apartemen premium southgate residence,"TB Simatupang, Jakarta Selatan",1,1,31 m²," 1,000,000,000"
The Oak Tower Tipe 1 BR,"Pulo Gadung, Jakarta Timur",1,1,36 m²," 683,375,000"
Apartemen Murah di The Oak Tower Jakarta Timur,"Pulo Gadung, Jakarta Timur",2,1,42 m²," 942,000,000"
CUMA BAYAR 5 JUTA BISA PUNYA APARTEMEN 2 KAMAR TIDUR DI JAKARTA,"Pulo Gadung, Jakarta Timur",2,1,42 m²," 842,000,000"
Apartemen Nyaman dan Praktis di Jakarta - Tipe 1 BR,"Kebon Jeruk, Jakarta Barat",1,1,41 m²," 1,244,800,000"
Dijual Apartemen 2 BR di B Residence Grogol,"Kebon Jeruk, Jakarta Barat",2,1,50 m²," 1,403,900,000"
Lux Mewah 2BR 49m2 Madison Park Mp Central Park Tanjung Duren,"Grogol Petamburan, Jakarta Barat",2,1,49 m²," 1,130,000,000"
"Apartemen Permata Hijau Residence, jual BU 5 M (Th 2015 beli 5.4M)","Kebayoran Lama, Jakarta Selatan",5,5,200 m²," 5,000,000,000"
Southgate Prime Tower Tipe 3BR + Maid,"Tanjung Barat, Jakarta Selatan",3,2,161 m²," 4,650,000,000"
Apartment cicilan 2 jutaan di Jakarta,"Pekayon, Jakarta Timur",1,1,21 m²," 350,000,000"
DI JUAL APARTEMENT PREMIUM SOUTHGATE RESIDENCE LOKASI STRATEGIS,"Tanjung Barat, Jakarta Selatan",2,1,31 m²," 1,000,000,000"
